交易次数,总销售额,平均销售额,销售额标准差,购买客户数
398,21380.76,53.72,27.74,393
366,19791.94,54.08,26.96,362
377,20328.41,53.92,26.76,372
351,18668.51,53.19,26.23,345
390,21353.28,54.75,27.93,377
354,18657.38,52.7,26.76,344
358,18857.63,52.67,27.41,351
385,20122.88,52.27,28.1,372
370,19171.83,51.82,28.26,362
403,21070.14,52.28,28.63,400
347,17589.96,50.69,28.02,338
374,18989.22,50.77,28.24,365
371,19857.77,53.52,27.22,367
336,18291.36,54.44,28.25,329
408,21615.2,52.98,27.74,398
381,19778.87,51.91,28.01,371
348,18625.37,53.52,27.13,346
368,18676.88,50.75,27.56,361
388,20662.76,53.25,27.63,380
354,18525.52,52.33,27.67,350
333,17412.54,52.29,27.49,329
367,19550.47,53.27,27.42,360
359,18961.01,52.82,28.2,356
366,19547.01,53.41,27.67,360
360,18520.88,51.45,27.11,356
338,17140.23,50.71,26.47,335
339,17605.09,51.93,27.56,332
374,19627.22,52.48,27.98,369
355,19047.21,53.65,28.34,348
379,20087.34,53.0,27.26,375
333,17666.88,53.05,27.3,329
366,19947.93,54.5,26.76,360
353,18710.07,53.0,27.02,345
384,20151.43,52.48,28.87,377
374,20841.48,55.73,26.91,364
361,19525.59,54.09,26.61,355
371,20354.44,54.86,28.02,361
337,18066.34,53.61,28.21,334
387,20658.0,53.38,26.97,378
382,21641.4,56.65,27.43,374
387,20076.38,51.88,27.52,380
364,19320.17,53.08,26.52,355
393,21679.05,55.16,27.34,388
361,19733.68,54.66,28.41,356
369,18435.61,49.96,26.94,366
377,19460.67,51.62,27.61,373
389,20958.06,53.88,28.15,379
398,21538.17,54.12,27.76,388
346,18002.77,52.03,27.95,341
354,17439.65,49.26,27.17,348
380,20216.61,53.2,27.94,373
384,20498.84,53.38,27.01,375
362,19085.04,52.72,27.93,355
376,20159.99,53.62,27.04,366
366,18741.37,51.21,28.11,360
366,20524.35,56.08,27.43,361
329,18222.44,55.39,27.69,323
382,19724.32,51.63,26.64,373
396,21368.1,53.96,27.43,387
379,20015.24,52.81,28.53,371
361,18905.26,52.37,28.31,348
376,20633.38,54.88,26.64,368
364,19356.87,53.18,27.76,352
375,19303.78,51.48,28.04,368
374,19984.25,53.43,27.81,365
379,18718.78,49.39,27.7,375
366,19563.96,53.45,27.41,358
411,22103.13,53.78,28.45,406
338,17446.77,51.62,26.86,333
376,20494.02,54.51,26.89,367
366,19093.01,52.17,28.67,359
361,18631.28,51.61,28.15,351
414,21906.72,52.91,27.26,406
681,34829.92,51.15,27.8,657
345,17963.02,52.07,27.24,333
379,20050.79,52.9,26.15,372
338,17703.69,52.38,28.21,334
374,20028.54,53.55,27.19,364
352,18782.7,53.36,27.82,345
378,21101.21,55.82,27.42,373
372,18852.8,50.68,26.91,369
