Recency,Frequency,Monetary
1237,1,76.41
642,2,36.91
642,1,59.21
1559,1,32.74
425,1,7.12
1284,1,6.87
1372,1,5.82
506,1,32.65
1271,1,93.09
558,1,82.9
794,1,71.22
502,1,17.86
23,1,74.08
817,1,11.93
302,1,91.62
1424,1,60.74
527,1,94.64
1064,1,51.93
1172,1,48.39
964,1,78.49
277,2,42.92
767,1,95.49
1118,1,47.33
226,1,18.46
516,1,47.66
552,1,34.32
1101,1,92.47
842,1,52.96
101,1,15.66
1044,1,78.46
986,1,7.23
888,1,51.84
1102,1,77.8
900,1,61.36
690,1,63.53
137,1,99.1
61,1,47.52
1182,1,94.94
809,1,58.34
547,1,61.16
580,1,79.42
790,1,71.08
455,1,53.66
661,1,64.08
1318,1,6.87
390,1,65.31
1276,1,24.2
1382,1,53.38
1574,1,48.84
434,1,65.67
1580,1,97.29
1190,1,96.56
636,1,77.13
1475,1,86.58
272,1,64.68
1019,1,46.54
1455,1,53.85
660,1,64.3
1306,1,66.64
1435,1,74.68
1423,1,61.65
244,1,31.02
1503,1,52.11
26,1,33.53
920,1,34.62
1034,1,63.89
620,1,50.82
896,1,68.52
419,1,15.59
593,1,13.21
443,1,86.63
1052,1,27.26
199,1,53.92
692,1,80.31
1504,1,11.97
1067,1,22.8
984,1,79.59
1128,1,86.07
524,1,88.72
1021,1,77.78
4,1,14.9
417,1,87.81
503,1,87.84
103,1,56.32
1589,1,84.77
1091,1,65.49
734,1,34.39
812,1,98.12
522,1,50.62
129,2,67.37
564,1,92.03
966,1,24.42
44,1,16.96
1154,1,88.34
297,1,68.34
210,2,75.99
732,1,74.07
413,1,64.44
1057,1,22.72
161,1,71.32
1300,1,72.6
1380,1,32.16
761,1,43.46
831,1,46.78
601,2,76.78
937,1,30.57
1284,1,70.73
1232,1,51.53
578,1,37.15
255,1,48.99
1291,1,33.93
705,1,43.59
236,1,64.17
8,1,45.28
1299,1,17.96
482,1,51.87
1591,1,84.67
1067,1,9.98
674,1,78.99
291,1,67.59
204,1,32.16
817,1,17.43
189,1,13.16
898,1,64.67
720,1,18.49
605,1,33.6
908,1,84.6
377,1,41.81
1200,1,58.84
742,1,36.94
914,2,187.95999
1229,1,75.23
1227,1,26.71
92,1,24.2
848,2,69.01
230,1,28.19
556,1,28.57
1274,1,68.87
1391,1,93.63
758,1,9.71
142,1,32.38
515,1,41.73
1563,1,6.69
957,1,28.42
347,1,72.39
317,1,17.89
439,1,28.41
1456,1,87.67
250,1,50.73
305,1,53.36
1468,1,77.23
27,1,44.15
984,1,18.37
829,2,125.47
1476,1,27.25
1011,1,9.05
59,1,42.88
328,1,80.5
1153,1,74.85
423,1,29.08
848,1,42.84
26,1,81.1
1181,1,27.68
790,1,46.7
963,1,47.97
945,1,13.16
809,1,96.14
71,1,38.66
449,1,46.69
347,1,43.44
1228,1,41.24
1034,1,59.47
738,1,63.46
51,1,27.56
311,1,38.62
1010,1,62.86
578,1,42.96
1229,1,86.21
1392,1,39.72
1043,1,18.56
71,1,73.37
443,1,23.36
1394,1,21.59
331,1,34.0
1471,1,85.74
862,1,54.78
1316,1,48.69
71,1,43.19
1355,1,43.65
232,1,32.21
962,1,15.74
208,1,92.27
1264,1,14.76
661,1,6.67
1303,1,44.21
1294,1,52.82
511,1,95.95
87,1,95.44
445,1,85.35
531,1,31.11
632,1,75.36
989,1,87.07
140,1,16.5
364,1,38.58
1332,1,8.91
785,1,21.61
1357,1,75.1
522,1,95.06
1224,1,58.58
163,1,35.17
350,1,66.23
1074,1,64.39
1096,1,64.07
217,1,97.11
1077,1,80.91
427,1,50.7
1342,1,55.63
711,1,68.91
600,1,87.0
1553,1,66.28
860,1,36.97
820,1,68.44
1445,1,16.11
36,1,77.61
1425,1,56.73
633,2,69.71
747,1,52.8
894,1,89.01
1248,1,64.7
1384,1,49.39
1584,1,51.48
1128,1,44.93
699,1,44.42
991,1,46.33
480,1,97.27
973,1,18.96
36,1,65.42
1120,1,57.25
624,1,42.37
286,1,54.12
1496,1,96.46
1520,1,7.73
254,1,94.23
353,1,86.0
1320,1,94.03
1368,1,94.83
1144,1,59.75
1137,1,79.25
1553,1,55.63
1353,1,54.04
129,1,76.6
1090,1,8.36
1343,1,41.37
724,1,66.03
1380,2,47.969997
966,1,41.29
501,1,41.63
262,1,76.45
702,1,11.94
805,1,80.95
1421,1,95.16
608,1,36.19
878,1,75.68
382,1,70.61
1470,1,60.27
1302,1,43.36
701,1,86.53
558,1,45.12
933,1,34.72
385,1,11.79
406,2,46.45
1158,1,65.81
1361,1,46.65
646,1,87.73
567,1,82.06
1593,1,95.07
701,2,90.32
1326,1,99.22
1008,1,50.45
429,1,60.21
1498,1,69.54
706,1,62.98
1249,1,90.59
1080,1,27.73
811,1,94.36
5,3,154.65
644,1,95.19
1023,1,58.39
